"","external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"116","7d03b","15",4,4,2,2,2,2,7,4,2,22,34,"4 dni - słaba jakość 
2 dni - dobra jakość","4,4,2,2,2,2"
"117","88df4","15",4,4,2,2,2,2,7,4,2,22,34,"Właściwie to prawie wszystkie filmy były złej jakości - słaba ostrość i rozmyty obraz. Może dwa początkowe były stosunkowo  dobre stąd ocena nie najniższa dla całości","4,4,2,2,2,2"
"118","bb4ea","15",4,4,2,2,2,NA,6,3,3,22,34,"Od środy jakość zaczęła się pogarszać.","4,4,2,2,2,NA"
"119","c42b6","15",4,4,2,2,2,2,7,4,1,22,34,"W tym tygodniu także jakość filmów różniła się między sobą. Jednak były filmy o jakości że prawie nie można było rozpoznać kształtów.","4,4,2,2,2,2"
"120","d45b5","15",4,4,2,2,2,2,7,4,2,22,34,"Większość filmików było w bardzo słabej jakości","4,4,2,2,2,2"
"121","f1308","15",NA,4,2,2,NA,2,5,3,3,22,34,"W tym tygodniu, jak i w poprzednich, wyświetlane filmy były w różnej jakości.","NA,4,2,2,NA,2"
"122","f75f6","15",4,4,2,2,2,2,7,4,2,22,34,"Pn - dobra
Wt dobra
Śr zła
Czw - zła
Pt - zła
SB - zła","4,4,2,2,2,2"
"123","57ea9","16",2,2,4,4,4,4,7,2,5,18,34,"Poniedziałek i wtorek dobra reszta wspaniała","2,2,4,4,4,4"
"124","7d03b","16",2,2,4,4,4,4,7,2,4,18,34,"4 filmiki z dobrą jakością 
2 filmiki ze złą jakością","2,2,4,4,4,4"
"125","88df4","16",2,2,4,4,4,4,7,2,4,18,34,"Właściwie to może jeden film nie był dobrej jakości Pozostałe były dobre i bardzo dobre bez zastrzeżeń","2,2,4,4,4,4"
"126","c42b6","16",2,2,4,4,NA,4,6,2,3,18,34,"Różna jakość filmów w różne dni","2,2,4,4,NA,4"
"127","f1308","16",2,NA,NA,4,4,4,5,1,3,18,34,"Pod koniec tygodnia wyświetlane filmy miały najwyższą jakość, ale początkiem tygodnia były one słabej jakości.","2,NA,NA,4,4,4"
"128","57ea9","17",2,2,2,2,5,5,7,4,4,20,34,"Piątek i sobota wspaniała reszta dobra","2,2,2,2,5,5"
"129","7d03b","17",2,2,2,2,5,5,7,4,4,20,34,"4 filmy dobra jakość i 2 filmy zła jakość","2,2,2,2,5,5"
"130","88df4","17",2,2,2,2,5,5,7,4,3,20,34,"Tylko dwa ostatnie filmy były wysokiej jakości pozostałe słabej i obraz był niewyraźny","2,2,2,2,5,5"
"131","c42b6","17",2,2,2,2,5,5,7,4,3,20,34,"Kolejny tydzień, gdzie była różna jakość filmów w różne dni. Ocena tygodniowa umiarkowana.","2,2,2,2,5,5"
"132","d45b5","17",2,2,2,2,5,5,7,4,3,20,34,"Cześć filmików w świetnej jakości, część w fatalnej","2,2,2,2,5,5"
"133","f1308","17",2,2,2,2,5,5,7,4,3,20,34,"Filmy na początku tygodnia były słabej jakości, a te pod koniec bardzo wysokiej.","2,2,2,2,5,5"
"134","f75f6","17",NA,2,2,2,5,5,6,3,3,20,34,"Pn -  brak
Wt - zła 
Śr - zła
Czw - zła
Pt - bardzo dobra 
Sb - wspaniała","NA,2,2,2,5,5"
"135","57ea9","18",2,2,4,4,NA,2,6,3,4,19,31,"Środa i czwartek super reszta dobra","2,2,4,4,NA,2"
"136","88df4","18",2,2,4,4,2,2,7,4,2,19,31,"Większość filmów miała złą ostrość może dwa były bardzo dobrej jakości","2,2,4,4,2,2"
"137","bb4ea","18",2,2,4,4,2,2,7,4,3,19,31,"Na zmianę jakoś jednego dnia była dobra, a następnego słaba, dlatego ocena po środku.","2,2,4,4,2,2"
"138","c42b6","18",2,2,4,4,2,2,7,4,3,19,31,"Jakość filmów różna w różne dni","2,2,4,4,2,2"
"139","f1308","18",2,2,NA,4,2,2,6,4,3,19,31,"Filmy wyświetlane w środku tygodnia były dobrej jakości, ale te z początku, jak i końca tygodnia były słabej jakości.","2,2,NA,4,2,2"
"140","f75f6","18",2,2,4,4,2,2,7,4,1,19,31,"Pn -  zła
Wt- zła
Śr - bardzo dobra
Czw - umiarkowana
Pt - zła
Sb - zła","2,2,4,4,2,2"
"141","023ce","19",5,NA,2,2,5,NA,5,2,3,21,32,"Jakość filmów codziennie jest inna, czasem jest dobra a czasem słaba, więc ciężko jest to podsumować.","5,NA,2,2,5,NA"
"142","57ea9","19",5,5,2,2,5,5,7,2,5,21,32,"Środa i czwartek dobra reszta super","5,5,2,2,5,5"
"143","88df4","19",5,5,2,2,5,5,7,2,3,21,32,"Połowa filmów była złej jakości a druga bardzo dobrej stąd wypadkowa ocena umiarkowana jakość","5,5,2,2,5,5"
"144","c42b6","19",5,5,2,2,5,5,7,2,3,21,32,"Różna jakość w różne dni. Dużo filmów w zwolnionym tępie.","5,5,2,2,5,5"
"145","f1308","19",5,5,2,2,NA,5,6,2,3,21,32,"W tym tygodniu, jak i w poprzednie, wyświetlane filmy są albo wspaniałej (najwyższej) albo złej (najniższej) jakości. Jeśli dobrze pamiętam, filmy w środku tygodnia były brzydkie, a początkiem i końcem tygodnia były ładne.","5,5,2,2,NA,5"
"146","f75f6","19",5,5,2,2,5,5,7,2,4,21,32,"Pn -  dobra
Wt- - dobra
Śr - zła
Czw - zła
Pt - dobra 
Sb - dobra","5,5,2,2,5,5"
"147","3adab","20",5,5,5,5,2,2,7,2,4,19,28,"W większości filmiki były bardzo dobrej jakości, ale jeden albo 2 razy były złej jakości","5,5,5,5,2,2"
"148","57ea9","20",5,5,5,5,2,2,7,2,5,19,28,"Piątek i sobota dobra reszta wspaniała","5,5,5,5,2,2"
"149","7d03b","20",5,5,5,5,2,2,7,2,4,19,28,"Poniedziałek-czwartek: dobra jakość 
Piątek-sobota: zła jakość","5,5,5,5,2,2"
"150","88df4","20",5,5,5,5,2,2,7,2,3,19,28,"Ostatnie dwa filmy bardzo nieostre  ale były też  filmy bardzo dobrej jakości","5,5,5,5,2,2"
"151","bb4ea","20",5,5,5,5,NA,2,6,1,4,19,28,"Tylko wczoraj było w jakiejś słabszej jakości.","5,5,5,5,NA,2"
"152","c05b7","20",5,5,5,5,2,2,7,2,4,19,28,"Do czwartku jakość filmów była wspaniała, a w piątek i sobotę słaba.","5,5,5,5,2,2"
"153","c42b6","20",5,5,5,5,2,2,7,2,4,19,28,"Większość filmów miała jakość wspaniałą. Jednak był jeden lub dwa o słabej jakości.","5,5,5,5,2,2"
"154","d45b5","20",5,5,5,5,2,2,7,2,3,19,28,"Część filmików w bardzo dobrej jakości, część w tragicznej","5,5,5,5,2,2"
