"external_id","week","mo","tu","we","th","fr","sa","n","n_lowq","q2","n_full","n_obs","q4","week_q"
"b7150",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"bb4ea",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"bb8d0",5,4,4,2,2,NA,4,6,2,5,28,35,NA,"4,4,2,2,NA,4"
"bd209",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"c05b7",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"c42b6",5,4,4,2,2,4,4,7,2,5,28,35,"Dwa filmy były gorszej jakości","4,4,2,2,4,4"
"c565b",5,4,4,2,2,4,4,7,2,3,28,35,"Podtrzymuję, że nie da się ocenić kilku filmów naraz, w momencie gdy ich jakość różni się czasami diametralnie.","4,4,2,2,4,4"
"d45b5",5,4,4,2,2,4,4,7,2,3,28,35,"Niektóre filmy były w dobrej jakości, inne bardzo słabe. Ogólnie jedna wypadają umiarkowanie","4,4,2,2,4,4"
"f1308",5,4,4,2,2,4,4,7,2,4,28,35,"Wydaje mi się, że w środę i czwartek filmy były złej jakości, w pozostałe dni była dobra jakość, ale nie najlepsza.","4,4,2,2,4,4"
"f75f6",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"f7c29",5,4,4,2,2,4,4,7,2,3,28,35,NA,"4,4,2,2,4,4"
"f865c",5,4,4,2,2,4,4,7,2,4,28,35,"Jakość zależnie od dnia","4,4,2,2,4,4"
"00c2c",6,4,4,4,4,2,2,7,2,5,23,36,NA,"4,4,4,4,2,2"
"023ce",6,4,4,4,4,NA,2,6,1,4,23,36,NA,"4,4,4,4,NA,2"
"0d293",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"27e23",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"343ab",6,4,4,NA,4,2,2,6,2,5,23,36,NA,"4,4,NA,4,2,2"
"365cd",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"3adab",6,4,4,4,4,2,2,7,2,2,23,36,NA,"4,4,4,4,2,2"
"40c71",6,4,4,4,4,NA,2,6,1,4,23,36,NA,"4,4,4,4,NA,2"
"4d5eb",6,4,4,NA,NA,2,NA,4,1,3,23,36,NA,"4,4,NA,NA,2,NA"
"50bf3",6,4,4,4,4,2,2,7,2,2,23,36,NA,"4,4,4,4,2,2"
"54ed7",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"5542e",6,NA,4,4,4,2,2,6,2,3,23,36,NA,"NA,4,4,4,2,2"
"559e2",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"57ea9",6,4,4,4,4,2,NA,6,1,5,23,36,NA,"4,4,4,4,2,NA"
"5870e",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"5aa56",6,4,4,NA,4,2,2,6,2,4,23,36,NA,"4,4,NA,4,2,2"
"5c3d1",6,4,4,4,4,2,2,7,2,3,23,36,NA,"4,4,4,4,2,2"
"7d03b",6,4,4,4,4,2,2,7,2,4,23,36,"Poniedziałek - czwartek: dobra jakość 
Piątek- sobota: zła jakość","4,4,4,4,2,2"
"88df4",6,4,4,4,4,2,2,7,2,3,23,36,"Filmiki na początku tygodnia były dobrej jakości ostatnie dwa słabej Obraz był rozpikselowany i nieostry","4,4,4,4,2,2"
"898c1",6,4,4,4,4,2,2,7,2,3,23,36,NA,"4,4,4,4,2,2"
"8a560",6,4,NA,4,4,2,2,6,2,4,23,36,NA,"4,NA,4,4,2,2"
"8caa8",6,NA,4,NA,4,2,NA,4,1,3,23,36,NA,"NA,4,NA,4,2,NA"
"9d7d1",6,4,4,4,4,2,2,7,2,3,23,36,NA,"4,4,4,4,2,2"
"a711f",6,4,4,4,4,2,2,7,2,4,23,36,NA,"4,4,4,4,2,2"
"b7150",6,4,4,NA,4,2,2,6,2,2,23,36,NA,"4,4,NA,4,2,2"
"bb4ea",6,4,4,4,4,2,2,7,2,4,23,36,"Pod koniec tygodnia jakoś była lepsza.","4,4,4,4,2,2"
